Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Alnarp mellangård;53750;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;momentanvärde, 1 gång/tim;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1941-04-01 00:00:00;1951-05-31 23:59:59;5.0;55.6556;13.0511

Datum;Tid (UTC);Lufttemperatur;Kvalitet;;Tidsutsnitt:
1941-10-01;13:00:00;18.2;G
1941-10-01;18:00:00;12.6;G
1941-10-02;07:00:00;11.8;G
1941-10-02;13:00:00;16.6;G
1941-10-02;18:00:00;12.4;G
1941-10-03;07:00:00;13.0;G
1941-10-03;13:00:00;14.3;G
1941-10-03;18:00:00;12.0;G
1941-10-04;07:00:00;9.2;G
1941-10-04;13:00:00;14.4;G
1941-10-04;18:00:00;13.2;G
1941-10-05;07:00:00;12.8;G
1941-10-05;13:00:00;16.6;G
1941-10-05;18:00:00;10.0;G
1941-10-06;07:00:00;10.9;G
1941-10-06;13:00:00;17.3;G
1941-10-06;18:00:00;9.8;G
1941-10-07;07:00:00;8.2;G
1941-10-07;13:00:00;17.2;G
1941-10-07;18:00:00;9.3;G
1941-10-08;07:00:00;8.2;G
1941-10-08;13:00:00;15.0;G
1941-10-08;18:00:00;13.0;G
1941-10-09;07:00:00;11.8;G
1941-10-09;13:00:00;7.0;G
1941-10-09;18:00:00;5.7;G
1941-10-10;07:00:00;0.3;G
1941-10-10;13:00:00;8.8;G
1941-10-10;18:00:00;5.2;G
1941-10-11;07:00:00;4.2;G
1941-10-11;13:00:00;6.4;G
1941-10-11;18:00:00;4.3;G
1941-10-12;07:00:00;2.1;G
1941-10-12;13:00:00;10.2;G
1941-10-12;18:00:00;7.2;G
1941-10-13;07:00:00;1.0;G
1941-10-13;13:00:00;13.2;G
1941-10-13;18:00:00;8.1;G
1941-10-14;07:00:00;8.2;G
1941-10-14;13:00:00;10.4;G
1941-10-14;18:00:00;9.3;G
1941-10-15;07:00:00;9.8;G
1941-10-15;13:00:00;10.9;G
1941-10-15;18:00:00;8.0;G
1941-10-16;07:00:00;6.7;G
1941-10-16;13:00:00;9.7;G
1941-10-16;18:00:00;8.8;G
1941-10-17;07:00:00;9.7;G
1941-10-17;13:00:00;12.9;G
1941-10-17;18:00:00;8.9;G
1941-10-18;07:00:00;9.4;G
1941-10-18;13:00:00;11.6;G
1941-10-18;18:00:00;8.7;G
1941-10-19;07:00:00;10.0;G
1941-10-19;13:00:00;10.9;G
1941-10-19;18:00:00;9.9;G
1941-10-20;07:00:00;10.7;G
1941-10-20;13:00:00;12.7;G
1941-10-20;18:00:00;10.8;G
1941-10-21;07:00:00;9.6;G
1941-10-21;13:00:00;11.1;G
1941-10-21;18:00:00;9.1;G
1941-10-22;07:00:00;6.9;G
1941-10-22;13:00:00;4.9;G
1941-10-22;18:00:00;5.6;G
1941-10-23;07:00:00;3.1;G
1941-10-23;13:00:00;8.8;G
1941-10-23;18:00:00;5.4;G
1941-10-24;07:00:00;1.3;G
1941-10-24;13:00:00;8.0;G
1941-10-24;18:00:00;3.0;G
1941-10-25;07:00:00;-0.3;G
1941-10-25;13:00:00;7.2;G
1941-10-25;18:00:00;4.2;G
1941-10-26;07:00:00;5.0;G
1941-10-26;13:00:00;5.2;G
1941-10-26;18:00:00;3.9;G
1941-10-27;07:00:00;0.4;G
1941-10-27;13:00:00;4.3;G
1941-10-27;18:00:00;5.1;G
1941-10-28;07:00:00;6.3;G
1941-10-28;13:00:00;7.2;G
1941-10-28;18:00:00;5.2;G
1941-10-29;07:00:00;4.8;G
1941-10-29;13:00:00;5.7;G
1941-10-29;18:00:00;5.2;G
1941-10-30;07:00:00;4.0;G
1941-10-30;13:00:00;4.6;G
1941-10-30;18:00:00;3.4;G
1941-10-31;07:00:00;3.6;G
1941-10-31;13:00:00;4.6;G
1941-10-31;18:00:00;1.6;G
1941-11-01;07:00:00;1.0;G
1941-11-01;13:00:00;2.0;G
1941-11-01;18:00:00;1.4;G
1941-11-02;07:00:00;0.1;G
1941-11-02;13:00:00;1.1;G
1941-11-02;18:00:00;0.2;G
1941-11-03;07:00:00;0.0;G
1941-11-03;13:00:00;4.2;G
1941-11-03;18:00:00;2.6;G
1941-11-04;07:00:00;0.8;G
1941-11-04;13:00:00;5.5;G
1941-11-04;18:00:00;3.3;G
